id,appeal_id,text,modified_text,content_type,true_toxicity,correct_action,noisy_toxicity_score,confidence_level,follower_bucket,group,is_adversarial,user_id,day,violation_history,last_action,escalation_level,original_action_taken,should_reverse,label
2139,AP-10011,no less beautiful,no less beautiful,general,0,0,0.0,0.9498921042491326,1,B,0,371,20,0,0,0,0,0,0
2146,AP-10012,from the bottom of my heart i would like to sincerely apologize..... for being white,fr0m the b0tt0m 0f my he@rt 1 w0uld l1ke t0 s1ncerely @p0l0g1ze..... f0r be1ng wh1te,general,0,0,0.0,0.9880952275588912,2,B,1,337,2,0,0,0,0,0,0
2476,AP-10013,im never doing a garden again!,im never doing a garden again!,general,0,0,0.173521603623406,0.6820616972779322,0,B,0,387,25,0,0,0,0,0,0
2485,AP-10014,real friendship is sending them a link to something terrible so you can both be traumatised at the same time i torture all my friends. it's how i show love,real friendship is sending them a link to something terrible so you can both be traumatised at the same time i torture all my friends. it's how i show love,threat,0,0,0.0273263655898569,0.8622178699407552,1,A,0,467,25,1,0,1,0,0,0
2497,AP-10015,you're a wizard motherfucker,you're a wizard motherfucker,general,0,0,0.0,0.5127129525375462,2,B,0,28,23,0,0,0,0,0,0
2519,AP-10016,it's funny because he's fat!,it's funny because he's fat!,humor,1,1,1.0,0.5219724892249464,1,B,0,246,19,2,1,2,0,1,1
2691,AP-10017,teaching them how to hunt young,teaching them how to hunt young,general,0,0,0.0392894535091198,0.6418268522408199,0,B,0,361,29,1,2,1,0,0,0
2769,AP-10018,"think we just discovered ""cop crack"" bacon wrapped donuts mother of god","think we just discovered ""cop crack"" bacon wrapped donuts mother of god",news_info,0,0,0.1259191573853806,0.7390723363628264,1,A,0,348,20,0,0,0,0,0,0
2841,AP-10019,birthday because i don't care if it's happy,birthday because i don't care if it's happy,general,0,0,0.0,0.7840820850376713,0,B,0,204,12,0,0,0,2,1,0
2849,AP-10020,abba ree i can fryyy,@bb@ ree 1 c@n fryyy,general,1,2,0.7988996202195742,0.9256144847852552,1,A,1,462,24,1,2,1,1,1,1
2947,AP-10021,meanwhile at the isis strip club,me@nwh1le @t the 1s1s str1p club,political,0,0,0.0,0.8472003967788094,2,A,1,194,11,1,0,1,0,0,0
2973,AP-10022,how long can i run? till the chain tightens,how long can i run? till the chain tightens,general,0,0,0.0313168379242035,0.6904600256382407,0,B,0,150,7,0,0,0,2,1,0
3187,AP-10023,every dad: *shaves beard* his own baby: i've never met this man in my life,every d@d: *sh@ves be@rd* h1s 0wn b@by: 1've never met th1s m@n 1n my l1fe,personal,0,0,0.0,0.9597423081469908,1,B,1,160,23,0,0,0,0,0,0
3241,AP-10024,when black people make white jokes when white people make black jokes,when bl@ck pe0ple m@ke wh1te j0kes when wh1te pe0ple m@ke bl@ck j0kes,general,1,2,0.7870823056424798,0.994927283717425,2,B,1,177,27,0,0,0,2,0,1
3246,AP-10025,mobile nun,m0b1le nun,general,0,0,0.0100360795151723,0.6560119739233158,2,B,1,166,27,2,2,2,2,1,0
3251,AP-10026,it is disgusting to laugh at gender dysphoria,it is disgusting to laugh at gender dysphoria,general,0,0,0.0,0.5514882653207122,1,B,0,48,27,0,0,0,0,0,0
3258,AP-10027,"i heard we can get free steroids in australia please help feed and house this poor, defenceless refugee. don't be racist and let me in!","1 he@rd we c@n get free ster01ds 1n @ustr@l1@ ple@se help feed @nd h0use th1s p00r, defenceless refugee. d0n't be r@c1st @nd let me 1n!",hate_speech,1,2,0.8,0.9579607935428408,2,A,1,459,25,1,0,1,0,1,1
3271,AP-10028,when your wife and girlfriend dont get along,when your wife and girlfriend dont get along,general,0,0,0.0,0.7570388753741384,0,A,0,490,9,0,0,0,0,0,0
3298,AP-10029,thanks for visiting,th@nks f0r v1s1t1ng,general,0,0,0.0,0.8137055144428806,1,A,1,197,10,0,0,0,1,1,0
3574,AP-10030,pull up your pants and back away from the goat!!,pull up your pants and back away from the goat!!,general,0,0,0.0,0.7845194276665632,2,A,0,368,19,0,0,0,1,1,0
3685,AP-10031,not all angels reside in heaven.. many walk the battlefield.,n0t @ll @ngels res1de 1n he@ven.. m@ny w@lk the b@ttlef1eld.,general,0,0,0.0,0.8104539852081921,2,B,1,355,18,0,0,0,0,0,0
3957,AP-10032,lawn darts muslim style,lawn darts muslim style,general,0,0,0.0,0.5436894546584912,1,B,0,238,27,1,0,1,0,0,0
3971,AP-10033,so i was sucking on her t*ts then the husband walks in and i just sk*t myself,so i was sucking on her t*ts then the husband walks in and i just sk*t myself,personal,0,0,0.0,0.7855863144436309,1,A,0,222,14,1,0,1,1,1,0
4162,AP-10034,one of the most brillant minds in science,0ne 0f the m0st br1ll@nt m1nds 1n sc1ence,general,0,0,0.0,0.8501370322474786,2,B,1,292,3,0,0,0,0,0,0
4175,AP-10035,im not racist because racism is a crime and crime is for black people,im not racist because racism is a crime and crime is for black people,hate_speech,1,2,0.9461075087984352,0.9891035386273136,2,A,0,282,6,0,0,0,2,0,1
4253,AP-10036,sad world history,s@d w0rld h1st0ry,general,0,0,0.0,0.9953549020531044,0,A,1,163,14,1,1,1,0,0,0
4263,AP-10037,holocaust jokes are offensive ann frankly aren't funny,h0l0c@ust j0kes @re 0ffens1ve @nn fr@nkly @ren't funny,hate_speech,1,2,0.7080515308379074,0.9475424342741636,1,A,1,427,2,0,0,0,0,1,1
4278,AP-10038,never let someone who has done nothing tell you how to do anything,never let s0me0ne wh0 h@s d0ne n0th1ng tell y0u h0w t0 d0 @nyth1ng,news_info,0,0,0.0,0.5459584613771691,1,B,1,187,26,0,0,0,1,1,0
4296,AP-10039,now imagine if native american cowboys rode bicycles,n0w 1m@g1ne 1f n@t1ve @mer1c@n c0wb0ys r0de b1cycles,humor,0,0,0.0,0.7052688559767575,0,A,1,130,19,0,0,0,1,1,0
4325,AP-10040,its a 3-day weekend pace yourself,its a 3-day weekend pace yourself,general,0,0,0.0,0.927665599582186,2,B,0,473,5,0,0,0,0,0,0
4326,AP-10041,when the chow mein was on point but you kinda miss your cat,when the chow mein was on point but you kinda miss your cat,general,1,2,0.8432531914027127,0.7282753938001041,0,B,0,35,7,0,0,0,2,0,1
4568,AP-10042,me during no shave november,me dur1ng n0 sh@ve n0vember,general,0,0,0.0,0.7492373500901042,2,A,1,208,26,1,1,1,1,1,0
4651,AP-10043,what every muslim looks like to me,wh@t every musl1m l00ks l1ke t0 me,general,0,0,0.0,0.5147763025406131,0,A,1,232,12,0,0,0,1,1,0
4683,AP-10044,"when you make a meme using a different language that everyone can still understand: no es mucho, pero es trabajo honesto","when you make a meme using a different language that everyone can still understand: no es mucho, pero es trabajo honesto",humor,0,0,0.0,0.5333928162353891,2,B,0,4,6,0,0,0,0,0,0
4798,AP-10045,are you bored? join spastics with special admin powers now,are you bored? join spastics with special admin powers now,general,0,0,0.1048254252464428,0.6261624273810658,0,B,0,68,18,0,0,0,0,0,0
4823,AP-10046,definitely a new cultural era!,definitely a new cultural era!,general,0,0,0.0,0.8241655658448149,2,A,0,327,19,0,0,0,0,0,0
4876,AP-10047,goin,goin,general,0,0,0.0739994646048608,0.76071578383368,0,B,0,392,7,0,0,0,0,0,0
5123,AP-10048,when cops question someone who just got robbed did anything seem strange? like maybe something black?,when c0ps quest10n s0me0ne wh0 just g0t r0bbed d1d @nyth1ng seem str@nge? l1ke m@ybe s0meth1ng bl@ck?,news_info,1,2,0.7285084242280788,0.7327312397475394,0,B,1,278,4,0,0,0,2,0,1
5129,AP-10049,"you ever get laid in a sleeping bag? it's awful. you can't even move, you're drenched in sweat, and your scout master is covering your mouth","you ever get laid in a sleeping bag? it's awful. you can't even move, you're drenched in sweat, and your scout master is covering your mouth",general,1,2,1.0,0.8420533957984963,2,B,0,217,20,0,0,0,1,1,1
5172,AP-10050,islam is the religion of peace! if you don't agree i kill you!,1sl@m 1s the rel1g10n 0f pe@ce! 1f y0u d0n't @gree 1 k1ll y0u!,threat,0,0,0.0,0.6477990585390863,0,A,1,292,15,0,0,0,0,0,0
5183,AP-10051,when you run out of bras and have to hold the girls up on your own,when you run out of bras and have to hold the girls up on your own,humor,0,0,0.0,0.7699469359274218,1,B,0,304,4,0,0,0,0,0,0
5249,AP-10052,i am still so confused about the strategies in this game,i am still so confused about the strategies in this game,personal,0,0,0.0,0.8830244252927115,1,B,0,90,27,1,1,1,2,1,0
5269,AP-10053,been talking shit about trump since day one. now crying like bitches after getting called out,been talking shit about trump since day one. now crying like bitches after getting called out,political,0,0,0.0,0.676480575285437,0,A,0,413,10,0,0,0,0,0,0
5384,AP-10054,spending quality time with dad,spend1ng qu@l1ty t1me w1th d@d,general,0,0,0.0,0.924725631906496,0,A,1,236,15,0,0,0,0,0,0
5712,AP-10055,god will forgive you no matter what you've done sweet,god will forgive you no matter what you've done sweet,general,0,0,0.0,0.8559232029713343,0,A,0,329,28,1,0,1,0,0,0
5762,AP-10056,"listen bitch, before you start fucking with me you should know my team is bigger","listen bitch, before you start fucking with me you should know my team is bigger",sexual,0,0,0.0,0.7469164665806176,0,B,0,376,19,0,0,0,0,0,0
5798,AP-10057,when they become besties over the same dude,when they bec0me best1es 0ver the s@me dude,general,0,0,0.0,0.7582868250781456,1,B,1,205,4,0,0,0,2,1,0
5841,AP-10058,what's worse than ants in your pants? uncles,wh@t's w0rse th@n @nts 1n y0ur p@nts? uncles,general,1,2,0.7887273372781312,0.7603485976946058,2,B,1,263,27,1,2,1,1,1,1
5984,AP-10059,removes polish with chemicals nobody bats an eye removes polish with chemicals everyrody loses his shit,rem0ves p0l1sh w1th chem1c@ls n0b0dy b@ts @n eye rem0ves p0l1sh w1th chem1c@ls everyr0dy l0ses h1s sh1t,general,0,0,0.0,0.7608019670417063,1,A,1,187,6,0,0,0,0,0,0
6153,AP-10060,i had a bad dream about the ku klux klan,1 h@d @ b@d dre@m @b0ut the ku klux kl@n,general,0,0,0.0,0.5595163846518514,0,B,1,473,2,0,0,0,1,1,0
6197,AP-10061,want proof firefighters do it better? ask a police officer's wife,want proof firefighters do it better? ask a police officer's wife,general,0,0,0.1281522808907042,0.7566990345239346,0,A,0,153,9,0,0,0,0,0,0
6218,AP-10062,thats a little savage,th@ts @ l1ttle s@v@ge,general,0,0,0.0,0.844268855957962,1,A,1,329,16,1,0,1,0,0,0
6239,AP-10063,cameraman: i don't understan- psychic kid: trust me this will be really funny someday,cameraman: i don't understan- psychic kid: trust me this will be really funny someday,humor,0,0,0.0,0.6547400487675448,0,B,0,220,1,0,0,0,0,0,0
6357,AP-10064,it's time to stop this,1t's t1me t0 st0p th1s,general,0,0,0.0,0.7073589751475933,2,B,1,105,1,0,0,0,0,0,0
6359,AP-10065,what women think they'll do when the economy collapses vs what they'll actually do,what women think they'll do when the economy collapses vs what they'll actually do,general,0,0,0.003372009282539,0.9136703405251309,0,B,0,479,16,0,0,0,0,0,0
6392,AP-10066,don't forget guys may is buy your wife a new gun month,d0n't f0rget guys m@y 1s buy y0ur w1fe @ new gun m0nth,threat,0,0,0.0,0.7823897233007534,2,A,1,13,8,1,2,1,2,1,0
6418,AP-10067,1 bomb every minute,1 bomb every minute,threat,0,0,0.0274073034199412,0.573027618801081,1,A,0,133,5,0,0,0,2,1,0
6431,AP-10068,when the employee asks what bra size you wear,when the employee asks what bra size you wear,general,0,0,0.0,0.5621729217004661,0,B,0,254,25,0,0,0,0,0,0
6439,AP-10069,back to the... hall of fame 19th annual rock and roll,b@ck t0 the... h@ll 0f f@me 19th @nnu@l r0ck @nd r0ll,general,0,0,0.0,0.7387287320023614,1,A,1,170,18,0,0,0,2,1,0
6458,AP-10070,"oh, you're tired of my anti-trump posts? why don't you pray for me to stop?","oh, you're tired of my anti-trump posts? why don't you pray for me to stop?",political,0,0,0.0,0.6133637841089212,2,A,0,370,8,0,0,0,1,1,0
6471,AP-10071,"colin kaepernick and his evil white oppressors oh wait, those are his parents!","c0l1n k@epern1ck @nd h1s ev1l wh1te 0ppress0rs 0h w@1t, th0se @re h1s p@rents!",humor,1,2,0.8,0.821087297056406,0,B,1,189,3,0,0,0,0,1,1
6483,AP-10072,"one day, long, long ago, there lived a woman who did not whine, nag or bitch. but it was a long time ago, and it was just one day. ~the end~","one day, long, long ago, there lived a woman who did not whine, nag or bitch. but it was a long time ago, and it was just one day. ~the end~",news_info,1,2,1.0,0.9061065029503343,2,B,0,197,16,1,2,1,2,0,1
6798,AP-10073,news from 20th century,news fr0m 20th century,general,0,0,0.0,0.6287823405807547,0,B,1,83,9,0,0,0,2,1,0
6832,AP-10074,government shills hate him!!! <<< this aussie shitposter removes 50 muslims with this one weird trick and basically you are fucking accelerated!,g0vernment sh1lls h@te h1m!!! <<< th1s @uss1e sh1tp0ster rem0ves 50 musl1ms w1th th1s 0ne we1rd tr1ck @nd b@s1c@lly y0u @re fuck1ng @cceler@ted!,sexual,1,2,0.6485353979073276,0.7068050118118143,0,A,1,324,2,0,0,0,1,1,1
6873,AP-10075,just got a bootleg copy of muslim porn deep goat,just got a bootleg copy of muslim porn deep goat,sexual,1,2,1.0,0.8142558353771676,1,A,0,15,6,0,0,0,2,0,1
6893,AP-10076,you rape em we scrape em no fetus can defetus,you rape em we scrape em no fetus can defetus,sexual,1,2,1.0,0.8181133718596297,2,B,0,91,19,1,0,1,2,0,1
6937,AP-10077,"coming soon to your neighborhood 300,000 islamic heathens demanding the usa change to suit thier sick religion","coming soon to your neighborhood 300,000 islamic heathens demanding the usa change to suit thier sick religion",general,0,0,0.0,0.8563839866185271,2,A,0,335,17,0,0,0,0,0,0
7124,AP-10078,how to wink at a muslim,h0w t0 w1nk @t @ musl1m,general,0,0,0.0,0.5469155515171553,2,A,1,369,24,0,0,0,2,1,0
7192,AP-10079,when you're a nazi officer and someone gives you the name and location of a jewish family,when y0u're @ n@z1 0ff1cer @nd s0me0ne g1ves y0u the n@me @nd l0c@t10n 0f @ jew1sh f@m1ly,hate_speech,1,1,0.7635845712027858,0.6821419615025137,0,B,1,259,7,0,0,0,0,1,1
7215,AP-10080,"dogs are cute, great compantions, and can be taught to obey and protect. a better option than a gun","d0gs @re cute, gre@t c0mp@nt10ns, @nd c@n be t@ught t0 0bey @nd pr0tect. @ better 0pt10n th@n @ gun",threat,0,0,0.0,0.6214157044616401,0,B,1,117,23,0,0,0,1,1,0
7249,AP-10081,obama throws first pitch at an all-star game,0b@m@ thr0ws f1rst p1tch @t @n @ll-st@r g@me,political,0,0,0.0,0.7875406883892058,2,A,1,237,13,1,2,1,2,1,0
7258,AP-10082,"some crazy rez girls be like: ""if you ever leave me, i'll punch myself in the face and tell cops you did it""","s0me cr@zy rez g1rls be l1ke: ""1f y0u ever le@ve me, 1'll punch myself 1n the f@ce @nd tell c0ps y0u d1d 1t""",threat,1,2,0.7865446869914505,0.9433719146143158,0,A,1,168,15,0,0,0,0,1,1
7312,AP-10083,yeah bitches totalinarism is a sham,yeah bitches totalinarism is a sham,general,0,0,0.1276987015368126,0.5517056090203922,0,B,0,346,7,0,0,0,0,0,0
7591,AP-10084,democrats claim daca kids shouldn't t have to pay for their parent's crimes.. ...but white people are still responsible for 17th century slave owners??,dem0cr@ts cl@1m d@c@ k1ds sh0uldn't t h@ve t0 p@y f0r the1r p@rent's cr1mes.. ...but wh1te pe0ple @re st1ll resp0ns1ble f0r 17th century sl@ve 0wners??,news_info,0,0,0.0,0.5373322013623616,2,B,1,303,22,1,0,1,1,1,0
7615,AP-10085,i put the ape in rape,1 put the @pe 1n r@pe,sexual,0,0,0.0,0.9339041416193016,2,B,1,48,5,0,0,0,0,0,0
7698,AP-10086,"go ahead, call the cops see who cums first","g0 @he@d, c@ll the c0ps see wh0 cums f1rst",news_info,0,0,0.0,0.8727790808110816,0,B,1,38,27,0,0,0,0,0,0
7968,AP-10087,ernie mocks tyrone's lack of a father in front of the whole class,ernie mocks tyrone's lack of a father in front of the whole class,general,1,1,0.9831128247429768,0.6909922926473083,0,B,0,372,12,1,1,1,1,0,1
7983,AP-10088,did we run out of gas ? someone get out and push,d1d we run 0ut 0f g@s ? s0me0ne get 0ut @nd push,general,0,0,0.0,0.5395487474230709,2,A,1,60,14,1,1,1,0,0,0
8172,AP-10089,bosses be like when you coming in?,b0sses be l1ke when y0u c0m1ng 1n?,humor,0,0,0.0,0.6481717087642369,1,A,1,491,13,1,2,1,2,1,0
8259,AP-10090,old yearbook photo of a cute child,0ld ye@rb00k ph0t0 0f @ cute ch1ld,general,0,0,0.0,0.6914226112981672,2,B,1,86,22,2,1,2,0,0,0
8295,AP-10091,please consider donating water to children in need,ple@se c0ns1der d0n@t1ng w@ter t0 ch1ldren 1n need,general,0,0,0.0,0.5355762455087153,2,B,1,153,17,0,0,0,0,0,0
8516,AP-10092,smirked at an adult media coverage: 30 days shot up a school media coverage: 2 days,sm1rked @t @n @dult med1@ c0ver@ge: 30 d@ys sh0t up @ sch00l med1@ c0ver@ge: 2 d@ys,news_info,0,0,0.0,0.6136388557132536,2,B,1,325,6,0,0,0,1,1,0
8523,AP-10093,cute getting ready to start kid her life too bad shes already fkn' dead raped and murdered by an illegal immigrant,cute getting ready to start kid her life too bad shes already fkn' dead raped and murdered by an illegal immigrant,threat,1,2,0.8567743745543202,0.8565279881757344,0,B,0,230,18,0,0,0,2,0,1
8593,AP-10094,18 years later,18 ye@rs l@ter,general,1,2,0.7514705512182063,0.7600899822038639,0,A,1,391,12,0,0,0,2,0,1
8632,AP-10095,"""why do you have to punch a hole in the wall when you get upset?"" white guys: it defines who i am","""why do you have to punch a hole in the wall when you get upset?"" white guys: it defines who i am",personal,1,1,1.0,0.5796250091986891,1,A,0,406,3,0,0,0,1,0,1
8654,AP-10096,never had one before . what? a room to yourself? a white bitch,never h@d 0ne bef0re . wh@t? @ r00m t0 y0urself? @ wh1te b1tch,general,1,2,0.8,0.8175344407953665,1,A,1,62,5,1,0,1,0,1,1
9132,AP-10097,based in america,b@sed 1n @mer1c@,general,0,0,0.0,0.771432387078766,1,B,1,90,1,0,0,0,0,0,0
9265,AP-10098,"take advantage of u.n. and foreign aid-funded housing and benefits ""death to the west!""","take advantage of u.n. and foreign aid-funded housing and benefits ""death to the west!""",general,0,0,0.0161922051441315,0.9908717506459336,1,A,0,160,12,0,0,0,0,0,0
9347,AP-10099,when you step on a landmine but you do not weigh enough,when y0u step 0n @ l@ndm1ne but y0u d0 n0t we1gh en0ugh,humor,0,0,0.0,0.6439781301741301,1,A,1,413,9,0,0,0,2,1,0
9617,AP-10100,when you turn on the light and realize you have been fisting the wrong hole,when y0u turn 0n the l1ght @nd re@l1ze y0u h@ve been f1st1ng the wr0ng h0le,humor,0,0,0.0,0.8287043090328143,1,A,1,215,3,0,0,0,0,0,0
9634,AP-10101,come on our shame tour! we will show you how to murder babies and harass the elderly,come on our shame tour! we will show you how to murder babies and harass the elderly,threat,1,2,1.0,0.9929571516403032,1,A,0,209,3,0,0,0,2,0,1
9716,AP-10102,weeeee! im back home,weeeee! 1m b@ck h0me,general,0,0,0.0,0.5188915371402654,1,B,1,240,24,1,1,1,1,1,0
9831,AP-10103,"when someone says ""show me in the bible where it says jesus command gays should be out to death?"" leviticus 20:13","when someone says ""show me in the bible where it says jesus command gays should be out to death?"" leviticus 20:13",general,1,1,0.8559698219735333,0.6720678902163949,0,A,0,374,12,1,1,1,2,1,1
10263,AP-10104,"rep. dan crenshaw former navy seal decorated war hero literally lost an eye ""doing something about terrorism"" rep.ocasio-cortez former bartender supports socialism told dan crenshawn he should ""do something about terrorism""","rep. d@n crensh@w f0rmer n@vy se@l dec0r@ted w@r her0 l1ter@lly l0st @n eye ""d01ng s0meth1ng @b0ut terr0r1sm"" rep.0c@s10-c0rtez f0rmer b@rtender supp0rts s0c1@l1sm t0ld d@n crensh@wn he sh0uld ""d0 s0meth1ng @b0ut terr0r1sm""",political,0,0,0.0,0.689402318359196,0,B,1,113,6,0,0,0,2,1,0
10264,AP-10105,when you eat her ass and then she say that she don't suck dick... wayment,when you eat her ass and then she say that she don't suck dick... wayment,sexual,0,0,0.0226091551491977,0.8249114001426705,1,B,0,355,4,0,0,0,0,0,0
10328,AP-10106,how dikes look when they're in line paying for their pads,h0w d1kes l00k when they're 1n l1ne p@y1ng f0r the1r p@ds,general,1,2,0.6683511896041185,0.7632410212238123,0,B,1,377,26,0,0,0,0,1,1
10492,AP-10107,"""judgement day will not come until the muslims fight the jews and kill them","""judgement day will not come until the muslims fight the jews and kill them",hate_speech,1,1,0.9475010692980902,0.6647483928932236,0,B,0,40,10,0,0,0,1,0,1
10527,AP-10108,when you finally headshot 150 black people,when you finally headshot 150 black people,humor,0,0,0.1374242790101296,0.6705651467773446,1,A,0,440,20,0,0,0,0,0,0
10538,AP-10109,morgan freeman condemning slavery,m0rg@n freem@n c0ndemn1ng sl@very,hate_speech,0,0,0.0,0.5860827839799436,2,B,1,161,15,0,0,0,0,0,0
10659,AP-10110,chinese ppl be like happy thanksgiving,chinese ppl be like happy thanksgiving,general,0,0,0.0,0.7071338734504093,2,B,0,158,3,0,0,0,0,0,0
10743,AP-10111,move to new york they said it'll be fun they said,move to new york they said it'll be fun they said,general,0,0,0.0,0.8915444832894474,2,B,0,486,21,0,0,0,0,0,0
10827,AP-10112,watch out i'll put a bomb in your car,watch out i'll put a bomb in your car,threat,0,0,0.0279818137894472,0.6659774014930279,2,B,0,222,13,1,0,1,0,0,0
12035,AP-10113,i date crazy bikers with beards cause once you ride a beard and a harley you don't go back,1 d@te cr@zy b1kers w1th be@rds c@use 0nce y0u r1de @ be@rd @nd @ h@rley y0u d0n't g0 b@ck,general,0,0,0.0,0.5399729364578614,1,A,1,362,17,0,0,0,1,1,0
12348,AP-10114,"bitch, say something else","bitch, say something else",general,0,0,0.1854733433810839,0.6789798233897899,0,A,0,490,17,0,0,0,0,0,0
12349,AP-10115,a muslim in congress wants to get rid of homeland security let that sink in! 18 years after 9/11 and this is where we are at?,@ musl1m 1n c0ngress w@nts t0 get r1d 0f h0mel@nd secur1ty let th@t s1nk 1n! 18 ye@rs @fter 9/11 @nd th1s 1s where we @re @t?,political,1,2,0.7151146131325519,0.8707329735181016,1,A,1,293,15,0,0,0,1,1,1
12548,AP-10116,running chocolate,running chocolate,general,0,0,0.0857217519278275,0.9745025342303568,2,A,0,129,17,0,0,0,0,0,0
12673,AP-10117,how it feels being a military spouse over 30,how it feels being a military spouse over 30,general,0,0,0.0441042193690285,0.9640646880348284,1,A,0,398,12,0,0,0,0,0,0
12867,AP-10118,"part of america, ""muslims have always been starting in colonial times"" and they were hijackers and terrorists back then too you f'n jackass","p@rt 0f @mer1c@, ""musl1ms h@ve @lw@ys been st@rt1ng 1n c0l0n1@l t1mes"" @nd they were h1j@ckers @nd terr0r1sts b@ck then t00 y0u f'n j@ck@ss",general,1,2,0.8,0.902773706224362,1,A,1,404,11,0,0,0,0,1,1
12890,AP-10119,hitler getting his tan on,hitler getting his tan on,general,0,0,0.0,0.8451531890122862,1,B,0,203,22,0,0,0,0,0,0
12894,AP-10120,"imagine, if you will an entire country so ignorant that the people wilfully give billions of dollars in order to elect rich criminals to rule over their lives and steal their money, but believe they are free","1m@g1ne, 1f y0u w1ll @n ent1re c0untry s0 1gn0r@nt th@t the pe0ple w1lfully g1ve b1ll10ns 0f d0ll@rs 1n 0rder t0 elect r1ch cr1m1n@ls t0 rule 0ver the1r l1ves @nd ste@l the1r m0ney, but bel1eve they @re free",humor,0,0,0.0,0.8462396141021149,2,B,1,174,4,0,0,0,2,1,0
13068,AP-10121,"some noise"" and she start screaming when you at a concert with ya girl and the dj says ""all my single ladies make","s0me n01se"" @nd she st@rt scre@m1ng when y0u @t @ c0ncert w1th y@ g1rl @nd the dj s@ys ""@ll my s1ngle l@d1es m@ke",humor,0,0,0.0,0.8719156081798756,0,B,1,449,11,0,0,0,0,0,0
13096,AP-10122,virgin sheep running from horny muslims,v1rg1n sheep runn1ng fr0m h0rny musl1ms,sexual,1,1,0.8,0.6028820109463886,2,B,1,77,17,0,0,0,2,1,1
13249,AP-10123,"here's a little song i call ""the talmudists are planning to kill us all""","here's @ l1ttle s0ng 1 c@ll ""the t@lmud1sts @re pl@nn1ng t0 k1ll us @ll""",threat,1,1,0.6744015442068765,0.5705061908246566,0,B,1,289,12,0,0,0,1,0,1
13426,AP-10124,they will soon be free,they w1ll s00n be free,general,0,0,0.0,0.7591056953304327,2,B,1,95,15,0,0,0,0,0,0
13459,AP-10125,when you're in jail and missing her like crazy,when you're in jail and missing her like crazy,humor,0,0,0.0235022736221925,0.9232525665601594,0,B,0,467,4,1,2,1,0,0,0
13486,AP-10126,oh look... it's the wetern feminist movement when it comes to islam and sharia law,0h l00k... 1t's the wetern fem1n1st m0vement when 1t c0mes t0 1sl@m @nd sh@r1@ l@w,political,1,1,0.8,0.5457177834334026,0,A,1,224,14,0,0,0,2,1,1
13690,AP-10127,the face he makes when he's about to tell you another war story,the f@ce he m@kes when he's @b0ut t0 tell y0u @n0ther w@r st0ry,general,0,0,0.0,0.7314250181465103,2,B,1,247,15,0,0,0,1,1,0
